id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,teamColor,name,homeTeam,awayTeam,round,shortName,fullName
2451763617,Miss,9772,940087,Goncalo Ramos,101.87068676149171,40.72166602576755,24,,False,False,,,41.5990625,0.802631575,0.2019591629505157,,RightFoot,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.10562244684788417, 'zoomRatio': 0.4974297816342475}",Goncalo,Ramos,#C00001,Benfica,Boavista,Benfica,4,,
2451769783,Goal,9772,1053838,Morato,96.9912265970607,31.40749883651733,30,,False,True,,,35.83,0.40452631380000004,0.1256510019302368,0.1466,Header,FromCorner,FirstHalf,False,"{'x': 0.5158730158730164, 'y': 0.10701754333333334, 'zoomRatio': 1}",,Morato,#C00001,Benfica,Boavista,Benfica,4,,
2451780981,AttemptSaved,9772,940087,Goncalo Ramos,94.38596638303929,38.70452509346489,39,,False,True,99.9741379314,36.51625,33.5425,0.40452631380000004,0.2760931849479675,0.1036,LeftFoot,FastBreak,FirstHalf,False,"{'x': 1.121031746031747, 'y': 0.10701754333333334, 'zoomRatio': 1}",Goncalo,Ramos,#C00001,Benfica,Boavista,Benfica,4,,
2451786049,Miss,8613,309353,Sebastian Perez,80.11990463206557,39.54500128346489,44,,False,False,92.3,30.244,1.4430331762000002,0.17978947280000002,0.0137146711349487,,RightFoot,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.005522304143780654, 'zoomRatio': 0.11610418195458924}",Sebastian,Perez,#000000,Boavista,Boavista,Benfica,4,,
2451788661,Miss,9772,300916,Joao Mário,89.69999694824219,37.86404890346489,45,1.0,False,False,,,40.217380953,0.44305262939999995,0.3755469620227813,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.07126033176175554, 'zoomRatio': 0.6079730401876178}",Joao,Mário,#C00001,Benfica,Boavista,Benfica,4,,
2451810871,Miss,9772,940087,Goncalo Ramos,101.87068676149171,41.22595366346489,54,,False,False,,,41.31,1.0723157842,0.126490443944931,,LeftFoot,FromCorner,SecondHalf,False,"{'x': 0, 'y': 0.14669162574555397, 'zoomRatio': 0.5170998632010942}",Goncalo,Ramos,#C00001,Benfica,Boavista,Benfica,4,,
2451816475,Miss,9772,477023,Rafa Silva,102.24999855324587,30.28000009155273,59,,False,False,,,29.799761903,0.35957894560000003,0.2485806941986084,,RightFoot,FastBreak,SecondHalf,False,"{'x': 2, 'y': 0.0856091815025505, 'zoomRatio': 0.8999489821064788}",Rafa,Silva,#C00001,Benfica,Boavista,Benfica,4,,
2451820647,AttemptSaved,9772,576118,Diogo Goncalves,90.5999984741211,36.2875,63,,False,True,104.051724138,34.1525,33.77125,1.0979999945999999,0.0456883311271667,0.0254,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.0605158730158726, 'y': 0.29047618904761907, 'zoomRatio': 1}",Diogo,Goncalves,#C00001,Benfica,Boavista,Benfica,4,,
2451824435,AttemptSaved,9772,300916,Joao Mário,92.8000030517578,30.231999908447264,67,,True,True,99.784482759,31.4075,32.70374999999999,1.2199999940000001,0.0224793851375579,,Header,RegularPlay,SecondHalf,False,"{'x': 1.3429232804232825, 'y': 0.32275132116402117, 'zoomRatio': 1}",Joao,Mário,#C00001,Benfica,Boavista,Benfica,4,,
2451824677,Goal,9772,300916,Joao Mário,95.9298245603,31.7125,67,,False,True,,,35.6775,0.24399999879999998,0.126558631658554,0.205,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5562169312169307, 'y': 0.06455026423280423, 'zoomRatio': 1}",Joao,Mário,#C00001,Benfica,Boavista,Benfica,4,,
2451830631,Miss,8613,643232,Kenji Gorré,83.27329753426885,47.08356901387428,75,,False,False,,,29.379523808000002,6.270482770400001,0.0363802313804626,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.4990383522083084, 'y': 0.6772486772486772, 'zoomRatio': 0.4082620260252617}",Kenji,Gorré,#000000,Boavista,Boavista,Benfica,4,,
2451838847,Goal,9772,300916,Joao Mário,94.0,34.0,82,,False,True,,,31.7125,0.28252631440000003,0.7884,0.9863,RightFoot,Penalty,SecondHalf,False,"{'x': 1.6051587301587305, 'y': 0.07474241121693122, 'zoomRatio': 1}",Joao,Mário,#C00001,Benfica,Boavista,Benfica,4,,
2451845131,AttemptSaved,9772,709796,Petar Musa,90.0999984741211,23.648916132912866,88,,True,True,91.7,24.6298089222,32.85625,1.2199999940000001,0.0718202888965606,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.3025793650793662, 'y': 0.32275132116402117, 'zoomRatio': 1}",Petar,Musa,#C00001,Benfica,Boavista,Benfica,4,,
2451846397,Miss,8613,1282144,Pedro Malheiro,80.23252427279999,17.6234394922,89,,False,False,,,37.684,4.4630344888,0.0184939801692962,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.4409668728204329, 'y': 0.6772486772486772, 'zoomRatio': 0.5736007656728462}",Pedro,Malheiro,#000000,Boavista,Boavista,Benfica,4,,
2451851331,Miss,9772,576118,Diogo Goncalves,79.44417819533112,26.169686617851266,90,3.0,False,False,,,28.791190475,2.8902068975999997,0.0465052127838134,,RightFoot,FreeKick,SecondHalf,False,"{'x': 2, 'y': 0.5548689933329823, 'zoomRatio': 0.725693650700349}",Diogo,Goncalves,#C00001,Benfica,Boavista,Benfica,4,,
2451894103,Miss,9774,1125477,Bruno Langa,76.51601598226888,52.478471336800006,1,,False,False,86.352941176,42.119375,21.406878984400002,0.7127368386,0.0174249410629272,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.05659731513078304, 'zoomRatio': 0.3001638748104971}",Bruno,Langa,#104080,Chaves,Sporting,Chaves,4,,
2451895867,Miss,9768,554283,Nuno Santos,83.27329753426885,40.63761968923245,4,,False,False,,,29.631666665,1.5153684136,0.0418257713317871,,LeftFoot,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.34689853026062606, 'zoomRatio': 0.8653185803642427}",Nuno,Santos,#106840,Sporting,Sporting,Chaves,4,,
