id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379187049.0,26.0,1.0,264.0,357533.0,62.265,9.588,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,49.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379187181.0,15.0,1.0,2188.0,421890.0,42.42,59.29600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 118, 120, 29, 36, 37, 216, 218]",True,50.0,47.565,68.0,,,,,,,,,3.0,Bernardo Vital,False,Maritimo,Estoril,0.00033624999999999974
2379187301.0,28.0,1.0,264.0,101952.0,55.86000000000002,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'ThrowIn', 'Length', 'PassEndX']","[91, 212, 36, 37, 216]",True,59.0,62.265,7.684000000000001,,,,,,,,,,,False,Maritimo,Estoril,0.002714640000000001
2379187371.0,29.0,2.0,264.0,357533.0,62.475,8.364,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,0.0,57.855000000000004,6.800000000000002,,,,,,,,,,,False,Maritimo,Estoril,-0.002714640000000001
2379187395.0,30.0,2.0,264.0,123359.0,54.6,10.812000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,2.0,41.685,12.172000000000004,,,,,,,,,,,False,Maritimo,Estoril,-0.003970940000000001
2379187465.0,31.0,2.0,264.0,422005.0,42.525,15.096,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,5.0,38.43,41.82,,,,,,,,,,,False,Maritimo,Estoril,0.0004792700000000004
2379187529.0,32.0,2.0,264.0,137058.0,37.8,43.45200000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,7.0,39.69,55.35200000000001,,,,,,,,,,,False,Maritimo,Estoril,-0.0005445499999999995
2379187595.0,33.0,2.0,264.0,329366.0,37.695,54.196000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,9.0,51.345,62.56,,,,,,,,,,,False,Maritimo,Estoril,0.00033624999999999974
2379187667.0,34.0,2.0,264.0,114188.0,47.67,60.52,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,11.0,72.87,62.356000000000016,,,,,,,,,,,True,Maritimo,Estoril,0.00873785
2379187733.0,17.0,2.0,2188.0,333315.0,13.965000000000002,23.052,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,['Zone'],"[91, 101, 102, 56]",True,16.0,,,,,,,,,,,21.0,João Gamboa,,Maritimo,Estoril,
