id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2331428751.0,27.0,2.0,3.0,264.0,32.34,56.57600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,114188.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331428813.0,28.0,2.0,4.0,264.0,33.18,57.120000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive', 'Foul']","[90, 62]",True,114188.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331428869.0,32.0,2.0,4.0,935.0,71.82000000000001,10.88,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'StandingSave', 'Offensive', 'Zone', 'Foul']",[63],False,119622.0,,,,,,,,,,,7.0,Ivo Rodrigues,,Famalicao,Maritimo,
2331429585.0,29.0,2.0,19.0,264.0,30.765,50.79600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'FreekickTaken']","[90, 116, 29, 131, 35, 37, 215, 217]",True,345713.0,38.010000000000005,32.572,,,,,,,,,,,False,Famalicao,Maritimo,0.00152184
2331429619.0,30.0,2.0,20.0,264.0,38.010000000000005,32.572,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'Zone', 'Length', 'Angle', 'PassEndX']","[90, 117, 119, 28, 35, 37, 215, 217]",True,422003.0,43.155,3.5360000000000005,,,,,,,,,,,False,Famalicao,Maritimo,-0.0013637900000000001
2331429551.0,33.0,2.0,21.0,935.0,74.76,65.008,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[90],True,365414.0,,,,,,,,,,,9.0,Marcos Paulo,,Famalicao,Maritimo,
2331430009.0,32.0,2.0,31.0,264.0,40.95000000000001,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'ThrowIn', 'PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle']","[90, 211, 35, 36, 215]",True,101952.0,61.95,4.0120000000000005,,,,,,,,,,,True,Famalicao,Maritimo,0.0034732899999999987
2331430091.0,33.0,2.0,32.0,264.0,61.95,4.0120000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'HeadPass', 'Angle', 'Zone']","[90, 118, 116, 29, 138, 204, 35, 36, 216, 217]",True,416884.0,75.17999999999999,6.664000000000001,,,,,,,,,,,True,Famalicao,Maritimo,0.006485330000000001
2331430107.0,34.0,2.0,36.0,264.0,76.125,9.180000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Length']","[90, 119, 28, 35, 36, 216, 217]",True,368411.0,94.92000000000004,34.272,,,,,,,,,,,True,Famalicao,Maritimo,0.08403581
2331430117.0,35.0,2.0,38.0,935.0,11.340000000000002,45.15200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[92],False,422247.0,,,,,,,,,,,13.0,Dalberson,,Famalicao,Maritimo,
2331430449.0,37.0,2.0,39.0,935.0,12.39,40.39200000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'KeeperThrow', 'PassEndY', 'PassEndX']","[90, 35, 37, 214, 217]",True,422247.0,22.89,11.424,,,,,,,,,13.0,Dalberson,False,Famalicao,Maritimo,-0.0014034000000000008
,,2.0,39.0,,22.89,11.424,,,Carry,,,,,96207.0,20.685,11.492000000000004,,,,,,,,,90.0,Diogo Figueiras,False,Famalicao,Maritimo,0.0
2331430481.0,35.0,2.0,43.0,264.0,81.9,62.764,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']","[90, 59]",True,335707.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331430471.0,38.0,2.0,43.0,935.0,20.685,11.492000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'Zone', 'Offensive', 'PassEndY', 'OppositeRelatedEvent', 'Length', 'StandingSave']","[90, 117, 119, 28, 35, 37, 214, 217]",True,96207.0,23.52,9.452000000000002,,,,,,,,,90.0,Diogo Figueiras,False,Famalicao,Maritimo,0.0
2331431139.0,40.0,2.0,59.0,935.0,23.625,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Longball', 'PassEndX', 'ThrowIn', 'Angle', 'Length', 'Zone']","[90, 211, 35, 36, 215]",True,96207.0,53.339999999999996,7.072000000000001,,,,,,,,,90.0,Diogo Figueiras,True,Famalicao,Maritimo,0.004034900000000001
2331431259.0,37.0,3.0,0.0,264.0,57.96000000000001,65.48400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[90],True,345713.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331512871.0,437.0,3.0,1.0,935.0,51.975,5.372000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[90],True,402892.0,,,,,,,,,,,10.0,Iván Jaime,,Famalicao,Maritimo,
2331431441.0,39.0,3.0,7.0,264.0,48.195,68.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'ThrowIn', 'PassEndX', 'Length', 'PassEndY', 'Longball']","[90, 211, 34, 37, 215]",True,322657.0,36.855,42.908,,,,,,,,,,,False,Famalicao,Maritimo,-0.0013788199999999994
2331431597.0,40.0,3.0,11.0,264.0,36.855,42.908,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[90, 116, 29, 34, 37, 214, 217]",True,137058.0,34.545,15.708000000000002,,,,,,,,,,,False,Famalicao,Maritimo,-0.002096839999999999
2331431721.0,41.0,3.0,14.0,264.0,35.17500000000001,13.464000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Length', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,101952.0,10.185,25.16,,,,,,,,,,,False,Famalicao,Maritimo,-0.0017150000000000012
