id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2366575211.0,24.0,2.0,13.0,2899.0,78.435,22.236000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,344143.0,,,,,,,,,,,,,22.0,Kévin Zohi,,Arouca,Vizela,
,,2.0,13.0,,78.435,22.236000000000004,,,Carry,,,,,344143.0,76.02000000000001,22.848000000000003,,,,,,,,,,,22.0,Kévin Zohi,False,Arouca,Vizela,0.0
2366575223.0,26.0,2.0,14.0,2899.0,76.02000000000001,22.848000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 120, 29, 35, 38, 217, 218]",True,344143.0,73.92000000000003,13.668000000000005,,,,,,,,,,,22.0,Kévin Zohi,False,Arouca,Vizela,-0.00010719000000000006
2366575241.0,28.0,2.0,16.0,5948.0,31.71,53.312000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,322648.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366575267.0,29.0,2.0,16.0,5948.0,31.71,53.312000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,322648.0,48.300000000000004,64.80400000000002,,,,,,,,,,,,,False,Arouca,Vizela,0.0018885399999999993
2366575275.0,30.0,2.0,21.0,5948.0,55.230000000000004,53.176000000000016,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'Chipped', 'Longball', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 120, 124, 128, 36, 38, 217, 218]",True,96271.0,91.455,42.636,,,,,,,,,,,,,True,Arouca,Vizela,0.03879325
2366575273.0,27.0,2.0,25.0,2899.0,13.02,24.888,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,280347.0,,,,,,,,,,,,,87.0,Charles,,Arouca,Vizela,
2366575321.0,28.0,2.0,28.0,2899.0,14.490000000000006,28.900000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['KeeperThrow', 'Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 36, 37, 215, 218]",True,280347.0,18.69,42.160000000000004,,,,,,,,,,,87.0,Charles,False,Arouca,Vizela,0.0
,,2.0,28.0,,18.69,42.160000000000004,,,Carry,,,,,425474.0,24.25500000000001,45.96800000000002,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,-0.0008141799999999994
2366575347.0,29.0,2.0,34.0,2899.0,24.25500000000001,45.96800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,425474.0,30.03,14.824000000000002,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,0.00058186
