id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379844405.0,28.0,1.0,30.0,2899.0,95.655,62.49200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,421851.0,98.07000000000001,60.384,,,,,,,,,,79.0,Nuno Moreira,False,Boavista,Vizela,0.003075179999999997
2379844413.0,29.0,1.0,33.0,2899.0,98.07000000000001,60.384,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'Angle', 'Cross', 'StandingSave', 'Zone', 'PassEndY', 'LeftFoot']","[91, 138, 126, 35, 38, 217, 218]",True,421844.0,96.915,39.440000000000005,,,,,,,,,,19.0,Alex Méndez,True,Boavista,Vizela,0.21952771999999998
2379844459.0,26.0,1.0,34.0,122.0,5.04,23.8,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'StandingSave', 'Length', 'Angle', 'Zone', 'PassEndY']","[91, 94, 95, 215]",True,105974.0,7.14,13.94,,,,,,,,,,,,,Boavista,Vizela,
2379844469.0,27.0,1.0,35.0,122.0,7.14,13.94,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,318429.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379844511.0,28.0,1.0,36.0,122.0,7.14,13.940000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'Chipped', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 124, 36, 37, 215, 218]",True,318429.0,27.195,16.456,,,,,,,,,,,,False,Boavista,Vizela,0.0019230999999999996
2379844515.0,29.0,1.0,38.0,122.0,28.980000000000004,14.416,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Zone', 'Foul', 'Defensive']","[91, 63]",True,280768.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379844539.0,30.0,1.0,38.0,2899.0,76.02000000000001,53.584,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'Foul', 'Zone', 'StandingSave', 'Offensive']",[64],False,124107.0,,,,,,,,,,,,37.0,Richard Ofori,,Boavista,Vizela,
2379844905.0,30.0,1.0,58.0,122.0,19.95,27.472000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['FreekickTaken', 'StandingSave', 'Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 132, 36, 37, 215, 218]",True,405113.0,23.1,48.55200000000001,,,,,,,,,,,,False,Boavista,Vizela,-0.0008141799999999994
2379844943.0,31.0,2.0,1.0,122.0,23.1,48.55200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,423077.0,21.735,26.45200000000001,,,,,,,,,,,,False,Boavista,Vizela,0.00015244999999999842
2379844999.0,32.0,2.0,4.0,122.0,21.735,26.45200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,405113.0,26.88000000000001,16.592,,,,,,,,,,,,False,Boavista,Vizela,-0.0007416699999999998
2379845041.0,33.0,2.0,7.0,122.0,27.615000000000002,19.108000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,105974.0,25.41,34.476000000000006,,,,,,,,,,,,False,Boavista,Vizela,0.00015244999999999842
2379845059.0,34.0,2.0,10.0,122.0,26.775000000000002,36.856,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'PassEndY', 'Zone', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 118, 120, 29, 124, 36, 37, 216, 218]",True,405113.0,37.38,50.11600000000001,,,,,,,,,,,,False,Boavista,Vizela,0.0009391300000000016
2379845119.0,31.0,2.0,12.0,2899.0,62.05500000000002,12.988,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'PassEndX', 'Angle', 'PassEndY']","[91, 120, 29, 36, 38, 217, 218]",True,143050.0,72.45,9.112,,,,,,,,,,8.0,Raphael Guzzo,False,Boavista,Vizela,0.007897079999999997
2379845153.0,35.0,2.0,14.0,122.0,27.51,54.196000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'Zone']","[91, 94, 95, 216]",True,423077.0,38.64,68.0,,,,,,,,,,,,,Boavista,Vizela,
