id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,2.0,37.0,,53.97,42.568000000000005,,,Carry,,,,,75691.0,55.230000000000004,38.28400000000001,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,3.931999999999894e-05
2332715443.0,45.0,2.0,40.0,299.0,55.230000000000004,38.28400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone']","[90, 118, 116, 29, 35, 37, 215, 217]",True,75691.0,56.7,13.872000000000005,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,-0.0007771499999999973
,,2.0,40.0,,56.7,13.872000000000005,,,Carry,,,,,300640.0,58.48500000000002,10.608,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.0
2332715451.0,46.0,2.0,44.0,299.0,58.48500000000002,10.608,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Angle', 'Length']","[90, 118, 116, 29, 35, 37, 215, 217]",True,300640.0,64.68,4.148,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.0013324699999999988
2332715463.0,47.0,2.0,45.0,299.0,64.78500000000001,4.148,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[90, 118, 116, 29, 34, 36, 215, 217]",True,343029.0,58.38,8.5,,,,,,,,,,17.0,Diogo Gonçalves,False,Benfica,Boavista,-0.002714640000000001
,,2.0,45.0,,58.38,8.5,,,Carry,,,,,300640.0,58.48500000000002,10.336000000000002,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.001382170000000002
2332715471.0,48.0,2.0,47.0,299.0,58.48500000000002,10.336000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Zone', 'StandingSave', 'Length']","[90, 118, 116, 29, 35, 36, 215, 217]",True,300640.0,61.53,15.708000000000002,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.0
2332715475.0,49.0,2.0,47.0,299.0,61.53,15.708000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Length', 'PassEndX', 'Angle']","[90, 118, 116, 29, 35, 37, 215, 217]",True,142318.0,69.405,7.412000000000001,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,0.0013324699999999988
2332715477.0,50.0,2.0,48.0,299.0,69.51,7.412000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[90, 118, 116, 29, 34, 36, 215, 217]",True,343029.0,67.935,12.036,,,,,,,,,,17.0,Diogo Gonçalves,False,Benfica,Boavista,0.0012528699999999997
2332715485.0,51.0,2.0,49.0,299.0,68.04000000000002,12.24,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[90, 118, 116, 29, 34, 36, 215, 217]",True,135127.0,63.105000000000004,16.524,,,,,,,,,,27.0,Rafa,False,Benfica,Boavista,0.0
,,2.0,49.0,,63.105000000000004,16.524,,,Carry,,,,,142318.0,64.78500000000001,19.244000000000003,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,0.0006478500000000019
2332715495.0,52.0,2.0,52.0,299.0,64.78500000000001,19.244000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'StandingSave']","[90, 118, 116, 29, 35, 36, 215, 217]",True,142318.0,67.095,27.268000000000008,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,0.0006193799999999992
