id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2359939159.0,28.0,2.0,21.0,299.0,70.14,49.980000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,125476.0,68.46000000000001,37.33200000000001,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.0006193799999999992
,,2.0,21.0,,68.46000000000001,37.33200000000001,,,Carry,,,,,142318.0,66.36,31.688,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.0
2359939201.0,29.0,2.0,23.0,299.0,66.36,31.688,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Longball']","[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,142318.0,84.63,1.7680000000000002,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.007592419999999999
,,2.0,23.0,,84.63,1.7680000000000002,,,Carry,,,,,114323.0,90.405,17.204,,,,,,,,,,22.0,Valentino Lazaro,True,Belenenses SAD,Benfica,0.027348260000000003
2359939213.0,30.0,2.0,30.0,299.0,90.405,17.204,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,114323.0,77.7,26.860000000000007,,,,,,,,,,22.0,Valentino Lazaro,False,Belenenses SAD,Benfica,-0.031059890000000003
2359939233.0,31.0,2.0,32.0,299.0,77.175,27.812000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,142318.0,77.28,35.70000000000001,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.0
2359939249.0,32.0,2.0,34.0,299.0,76.86,35.496,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,125476.0,74.655,43.656000000000006,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.0002709099999999992
2359939265.0,33.0,2.0,35.0,299.0,74.76,43.656000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,21778.0,83.89500000000002,59.84,,,,,,,,,,5.0,Jan Vertonghen,False,Belenenses SAD,Benfica,0.0034407200000000013
,,2.0,35.0,,83.89500000000002,59.84,,,Carry,,,,,107252.0,80.955,57.39200000000001,,,,,,,,,,3.0,Alejandro Grimaldo,False,Belenenses SAD,Benfica,0.0019695999999999984
2359939271.0,15.0,2.0,38.0,292.0,23.31,11.832,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']",[55],False,369083.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
