id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2368133963.0,36.0,3.0,1463.0,308886.0,65.94,7.072000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[198, 199]",False,22.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368134069.0,29.0,3.0,5948.0,316658.0,51.03,59.092000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone']","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,24.0,64.47,63.376000000000005,,,,,,,,,,18.0,Eboue Kouassi,False,Portimonense,Arouca,0.0036051999999999994
,,3.0,,96271.0,64.47,63.376000000000005,,,Carry,,,,,24.0,74.97000000000001,56.30400000000001,,,,,,,,,,8.0,Arsénio,True,Portimonense,Arouca,0.0065646099999999985
2368134087.0,30.0,3.0,5948.0,96271.0,74.97000000000001,56.30400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX']","[91, 120, 29, 35, 38, 217, 218]",True,26.0,72.135,44.812000000000005,,,,,,,,,,8.0,Arsénio,False,Portimonense,Arouca,0.00010719000000000006
2368134119.0,37.0,3.0,1463.0,317741.0,28.665000000000003,28.696000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,28.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368134177.0,38.0,3.0,1463.0,317741.0,28.665000000000006,28.696000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,28.0,21.735,43.656000000000006,,,,,,,,,,,,False,Portimonense,Arouca,-0.0013107199999999996
2368134279.0,39.0,3.0,1463.0,373033.0,23.625,48.48400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,31.0,44.20500000000001,41.208000000000006,,,,,,,,,,,,False,Portimonense,Arouca,0.00261342
2368134285.0,40.0,3.0,1463.0,116103.0,43.260000000000005,41.548,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,34.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368134365.0,42.0,3.0,1463.0,317741.0,39.585000000000015,45.08400000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,36.0,30.135,41.956,,,,,,,,,,,,False,Portimonense,Arouca,-0.0013679799999999995
2368134447.0,43.0,3.0,1463.0,116103.0,30.135,41.956,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,37.0,39.375,34.408,,,,,,,,,,,,False,Portimonense,Arouca,0.0013027000000000004
2368134547.0,44.0,3.0,1463.0,380545.0,38.955000000000005,34.476000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,40.0,26.775000000000002,38.352000000000004,,,,,,,,,,,,False,Portimonense,Arouca,-0.0024609700000000016
2368134635.0,45.0,3.0,1463.0,342696.0,27.405,39.98400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,44.0,24.25500000000001,17.272000000000006,,,,,,,,,,,,False,Portimonense,Arouca,-0.00015244999999999842
2368134673.0,46.0,3.0,1463.0,360107.0,24.675,16.252,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,47.0,29.925,2.5160000000000005,,,,,,,,,,,,False,Portimonense,Arouca,0.0003527700000000005
