id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2372640441.0,26.0,1.0,47.0,288.0,34.02000000000001,27.064000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,381792.0,31.185000000000002,15.096,,,,,,,,,,8.0,Al Musrati,False,Braga,Famalicao,-0.0007288599999999996
,,1.0,47.0,,31.185000000000002,15.096,,,Carry,,,,,421975.0,35.49,5.848,,,,,,,,,,2.0,Yan Couto,False,Braga,Famalicao,-0.0008183100000000009
2372640497.0,27.0,1.0,51.0,288.0,35.49,5.848,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Length', 'PassEndY', 'StandingSave', 'Zone', 'Angle', 'PassEndX', 'Chipped']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,421975.0,91.875,11.968000000000002,,,,,,,,,,2.0,Yan Couto,True,Braga,Famalicao,0.030893329999999997
,,1.0,51.0,,91.875,11.968000000000002,,,Carry,,,,,283362.0,101.955,23.46,,,,,,,,,,45.0,Iuri Medeiros,True,Braga,Famalicao,0.023756029999999997
2372640513.0,26.0,1.0,58.0,935.0,9.87,47.736,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,380619.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372640509.0,28.0,1.0,58.0,288.0,95.13,20.264000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone', 'StandingSave']","[91, 54]",True,283362.0,,,,,,,,,,,,45.0,Iuri Medeiros,,Braga,Famalicao,
2372640523.0,27.0,1.0,59.0,935.0,5.88,37.468,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 102, 56]",True,400243.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372640521.0,29.0,1.0,59.0,288.0,101.955,23.46,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 120, 29, 35, 37, 217, 218]",True,283362.0,97.23,29.036000000000005,,,,,,,,,,45.0,Iuri Medeiros,False,Braga,Famalicao,0.19302766999999998
2372640531.0,28.0,2.0,0.0,935.0,5.670000000000001,40.324,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,400826.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372640635.0,29.0,2.0,14.0,935.0,12.495000000000001,34.272,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'KeeperThrow', 'Angle', 'Zone', 'StandingSave', 'PassEndX']","[91, 36, 37, 215, 218]",True,400826.0,24.990000000000002,49.64,,,,,,,,,,,,False,Braga,Famalicao,-0.0008141799999999994
2372640647.0,30.0,2.0,15.0,935.0,25.095,52.97200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Length']","[91, 118, 120, 29, 36, 37, 216, 218]",True,400243.0,45.88500000000001,68.0,,,,,,,,,,,,False,Braga,Famalicao,0.0030596200000000007
2372640671.0,31.0,2.0,20.0,288.0,58.485000000000014,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'ThrowIn', 'PassEndY', 'PassEndX', 'Zone']","[91, 212, 36, 37, 216]",True,421975.0,59.01000000000001,4.964,,,,,,,,,,2.0,Yan Couto,False,Braga,Famalicao,0.0
2372640681.0,32.0,2.0,22.0,288.0,59.01000000000001,4.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 35, 38, 216, 218]",True,381792.0,57.75,0.952,,,,,,,,,,8.0,Al Musrati,False,Braga,Famalicao,0.0
,,2.0,22.0,,57.75,0.952,,,Carry,,,,,421975.0,55.964999999999996,1.7000000000000004,,,,,,,,,,2.0,Yan Couto,False,Braga,Famalicao,0.0
2372640697.0,33.0,2.0,24.0,288.0,55.964999999999996,1.7000000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,421975.0,36.330000000000005,8.704,,,,,,,,,,2.0,Yan Couto,False,Braga,Famalicao,-0.002588769999999999
2372640705.0,34.0,2.0,27.0,288.0,35.595,8.772,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,83475.0,31.919999999999998,26.180000000000007,,,,,,,,,,15.0,Paulo Oliveira,False,Braga,Famalicao,0.0007288599999999996
,,2.0,27.0,,31.919999999999998,26.180000000000007,,,Carry,,,,,407950.0,28.77,22.848000000000003,,,,,,,,,,86.0,Bruno Rodrigues,False,Braga,Famalicao,-0.0002191399999999996
2372640727.0,35.0,2.0,29.0,288.0,28.77,22.848000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,407950.0,34.86000000000001,6.596000000000001,,,,,,,,,,86.0,Bruno Rodrigues,False,Braga,Famalicao,-0.0013280300000000009
