id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2353442897.0,31.0,2.0,54.0,299.0,66.045,28.220000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,135127.0,73.815,44.26800000000001,,,,,,,,,,,,False,Benfica,Braga,0.004151699999999998
2353442955.0,32.0,2.0,56.0,299.0,73.815,44.26800000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Length', 'PassEndX', 'Zone']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,146760.0,80.22000000000001,63.58000000000001,,,,,,,,,,,,False,Benfica,Braga,0.0034407200000000013
2353442985.0,33.0,3.0,0.0,299.0,78.855,64.464,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Length']","[90, 118, 116, 29, 204, 34, 37, 216, 217]",True,107252.0,72.87,59.976000000000006,,,,,,,,,,,,False,Benfica,Braga,0.0
2353443011.0,34.0,3.0,2.0,299.0,72.66000000000001,59.364000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length', 'Zone']","[90, 118, 116, 29, 34, 37, 215, 217]",True,125476.0,68.88,51.000000000000014,,,,,,,,,,,,False,Benfica,Braga,-0.005311739999999999
2353443065.0,35.0,3.0,3.0,299.0,68.77500000000002,51.136,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'PassEndY']","[90, 118, 116, 29, 34, 36, 215, 217]",True,142318.0,65.52,60.180000000000014,,,,,,,,,,,,False,Benfica,Braga,-0.0012528699999999997
2353443111.0,36.0,3.0,8.0,299.0,57.645,57.66400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX']","[90, 116, 29, 34, 37, 215, 217]",True,125476.0,36.12,44.47200000000001,,,,,,,,,,,,False,Benfica,Braga,-0.0050135100000000005
2353443181.0,37.0,3.0,12.0,299.0,33.705000000000005,42.77200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,21778.0,32.865,31.484000000000005,,,,,,,,,,,,False,Benfica,Braga,0.0002191399999999996
2353443221.0,38.0,3.0,18.0,299.0,37.065,30.532,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[90, 116, 29, 34, 36, 214, 217]",True,75691.0,33.915,46.24,,,,,,,,,,,,False,Benfica,Braga,-0.00152184
2353443267.0,39.0,3.0,21.0,299.0,33.915,46.24,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Length', 'Zone', 'PassEndX']","[90, 116, 29, 35, 36, 215, 217]",True,21778.0,40.53,62.83200000000001,,,,,,,,,,,,False,Benfica,Braga,0.00015804999999999986
2353443293.0,40.0,3.0,23.0,299.0,40.425,62.22000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Length']","[90, 116, 29, 34, 37, 214, 217]",True,107252.0,33.81,49.70800000000001,,,,,,,,,,,,False,Benfica,Braga,-0.00015804999999999986
2353443335.0,41.0,3.0,25.0,299.0,33.18,48.68800000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[90, 116, 29, 34, 37, 214, 217]",True,21778.0,21.315,39.57600000000001,,,,,,,,,,,,False,Benfica,Braga,-0.0009391300000000016
2353443355.0,42.0,3.0,28.0,299.0,18.27,38.080000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[90, 116, 29, 34, 37, 214, 217]",True,75691.0,14.805,12.716000000000001,,,,,,,,,,,,False,Benfica,Braga,-0.002041330000000001
2353443397.0,43.0,3.0,29.0,299.0,14.805,12.716000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,300640.0,5.04,25.840000000000007,,,,,,,,,,,,False,Benfica,Braga,0.0006246700000000008
2353443473.0,44.0,3.0,34.0,299.0,5.04,25.840000000000007,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Longball', 'Zone', 'Angle', 'StandingSave', 'Length', 'PassEndX']","[90, 118, 116, 126, 35, 36, 215, 217]",True,110273.0,54.495,26.588000000000008,,,,,,,,,,,,True,Benfica,Braga,0.0074847199999999985
2353443481.0,45.0,3.0,37.0,299.0,54.495,26.588000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['OtherBodyPart', 'Zone', 'StandingSave']","[90, 68]",True,400828.0,,,,,,,,,,,,,,,Benfica,Braga,
2353443479.0,15.0,3.0,39.0,288.0,47.775,54.06,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,140118.0,,,,,,,,,,,,5.0,Nuno Sequeira,,Benfica,Braga,
,,3.0,39.0,,47.775,54.06,,,Carry,,,,,140118.0,56.38500000000001,57.732000000000006,,,,,,,,,,5.0,Nuno Sequeira,False,Benfica,Braga,0.0022727300000000006
2353443519.0,46.0,3.0,41.0,299.0,47.355,16.252,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'Zone', 'OppositeRelatedEvent', 'Defensive']","[90, 59]",True,135127.0,,,,,,,,,,,,,,,Benfica,Braga,
2353443503.0,16.0,3.0,41.0,288.0,56.38500000000001,57.732000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'PassEndY', 'Offensive', 'Angle', 'Zone', 'PassEndX', 'OppositeRelatedEvent']","[90, 119, 28, 35, 37, 215, 217]",True,140118.0,57.645,57.05200000000001,,,,,,,,,,5.0,Nuno Sequeira,False,Benfica,Braga,0.0
2353443537.0,47.0,3.0,42.0,299.0,47.355,16.252,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,135127.0,,,,,,,,,,,,,,,Benfica,Braga,
