id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2328287395.0,22.0,1.0,55.0,288.0,39.375,29.648000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,381792.0,33.285000000000004,43.248000000000005,,,,,,,,,8.0,Al Musrati,False,Pacos de Ferreira,Braga,-0.00152184
2328287427.0,23.0,1.0,57.0,288.0,33.6,42.364000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[90, 118, 116, 29, 35, 36, 215, 217]",True,83475.0,53.865,57.05200000000001,,,,,,,,,15.0,Paulo Oliveira,True,Pacos de Ferreira,Braga,0.004794370000000001
,,1.0,57.0,,53.865,57.05200000000001,,,Carry,,,,,361852.0,56.38500000000001,56.64400000000001,,,,,,,,,4.0,Diogo Leite,False,Pacos de Ferreira,Braga,0.0
2328287625.0,24.0,1.0,59.0,288.0,56.38500000000001,56.64400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone', 'StandingSave']","[90, 118, 116, 29, 35, 36, 215, 217]",True,361852.0,69.615,64.66800000000002,,,,,,,,,4.0,Diogo Leite,False,Pacos de Ferreira,Braga,0.0013324699999999988
,,1.0,59.0,,69.615,64.66800000000002,,,Carry,,,,,119620.0,71.08500000000001,62.96800000000001,,,,,,,,,26.0,Fábio Martins,False,Pacos de Ferreira,Braga,0.00377069
2328287631.0,25.0,2.0,2.0,288.0,71.08500000000001,62.968,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['StandingSave', 'Zone', 'OverRun', 'Offensive']","[90, 203]",True,119620.0,,,,,,,,,,,26.0,Fábio Martins,,Pacos de Ferreira,Braga,
2328287615.0,29.0,2.0,3.0,786.0,34.86000000000001,8.976,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,343089.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328287707.0,31.0,2.0,5.0,786.0,44.730000000000004,3.6720000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Length', 'Longball', 'Zone', 'Angle', 'PassEndY']","[90, 119, 127, 35, 36, 216, 217]",True,343089.0,81.27000000000001,20.332000000000004,,,,,,,,,,,True,Pacos de Ferreira,Braga,0.01606858
2328287931.0,26.0,2.0,10.0,288.0,13.334999999999999,34.476000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle', 'StandingSave']","[90, 116, 29, 35, 36, 214, 217]",True,296521.0,34.230000000000004,56.64400000000001,,,,,,,,,1.0,Matheus,False,Pacos de Ferreira,Braga,-0.0002323199999999994
,,2.0,10.0,,34.230000000000004,56.64400000000001,,,Carry,,,,,322689.0,35.595,59.976000000000006,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,-0.0008183100000000009
2328287989.0,27.0,2.0,13.0,288.0,35.595,59.976000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,322689.0,47.25,52.224000000000004,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,0.00258273
