id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387273521.0,12.0,2.0,3.0,264.0,20.790000000000006,16.048000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,137656.0,35.70000000000001,10.744000000000002,,,,,,,,,,,,False,Maritimo,Sporting,0.0011710800000000014
2387273577.0,14.0,2.0,6.0,264.0,38.64,16.388,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 54]",True,357533.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273549.0,35.0,2.0,6.0,296.0,66.36,51.61200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']",[55],False,283978.0,,,,,,,,,,,,2.0,Matheus Reis,,Maritimo,Sporting,
2387273535.0,13.0,2.0,7.0,264.0,39.27,14.96,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Offensive']","[91, 54]",True,357533.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273517.0,34.0,2.0,7.0,296.0,65.73,53.040000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']",[55],False,394933.0,,,,,,,,,,,,8.0,Matheus Nunes,,Maritimo,Sporting,
2387273583.0,15.0,2.0,10.0,264.0,57.855,24.276000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,357533.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273615.0,36.0,2.0,10.0,296.0,47.145,43.724,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'Defensive', 'StandingSave', 'OppositeRelatedEvent']","[91, 143]",True,384888.0,,,,,,,,,,,,68.0,Daniel Bragança,,Maritimo,Sporting,
2387273621.0,37.0,2.0,12.0,296.0,43.05,42.772000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,283978.0,,,,,,,,,,,,2.0,Matheus Reis,,Maritimo,Sporting,
2387273655.0,38.0,2.0,12.0,296.0,43.050000000000004,42.77200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,283978.0,32.76,31.348000000000003,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,-0.0013679799999999995
2387273677.0,39.0,2.0,16.0,296.0,33.495,30.532,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,395992.0,34.02000000000001,37.06,,,,,,,,,,25.0,Gonçalo Inácio,False,Maritimo,Sporting,0.0
2387273739.0,40.0,2.0,19.0,296.0,34.02000000000001,37.264,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,71268.0,47.88,56.57600000000001,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,0.0025216400000000003
,,2.0,19.0,,47.88,56.57600000000001,,,Carry,,,,,394933.0,61.214999999999996,56.37200000000001,,,,,,,,,,8.0,Matheus Nunes,True,Maritimo,Sporting,0.0022727300000000006
2387273781.0,41.0,2.0,23.0,296.0,61.214999999999996,56.37200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'StandingSave', 'Length', 'PassEndY', 'Zone']","[91, 120, 29, 36, 38, 217, 218]",True,394933.0,90.72000000000001,50.25200000000001,,,,,,,,,,8.0,Matheus Nunes,True,Maritimo,Sporting,0.03879325
2388317855.0,687.0,2.0,25.0,264.0,0.0,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperSweeper,Successful,['Zone'],[],False,74433.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2388318153.0,688.0,2.0,26.0,264.0,13.335,18.02,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Smother,Successful,[],"[91, 114]",True,74433.0,,,,,,,,,,,,,,,Maritimo,Sporting,
