id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482785411.0,30.0,1.0,19.0,299,8.505,31.688000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,110273.0,13.23,11.356,,,,,,,,,99.0,Odysseas Vlachodimos,False,Estoril,Benfica,-0.0006246700000000008
2482785439.0,31.0,1.0,22.0,299,13.23,11.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'PassEndX', 'Angle', 'Length', 'PassEndY', 'Zone', 'Chipped']","[91, 120, 124, 128, 36, 38, 216, 218]",True,443613.0,61.005,9.996,,,,,,,,,66.0,António Silva,True,Estoril,Benfica,
2482785501.0,5.0,1.0,27.0,2188,49.77,54.128,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Chipped', 'Zone', 'PassEndX', 'Angle', 'Length']","[91, 120, 29, 124, 36, 37, 216, 218]",True,444629.0,66.36,62.49200000000001,,,,,,,,,,,False,Estoril,Benfica,
2482785489.0,32.0,1.0,28.0,299,36.12,7.412000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[197, 200]",False,401520.0,,,,,,,,,,,6.0,Alexander Bah,,Estoril,Benfica,
2482785507.0,6.0,1.0,28.0,2188,68.88,60.588,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,105928.0,,,,,,,,,,,,,,Estoril,Benfica,
2482785509.0,33.0,1.0,28.0,299,37.48500000000001,4.148,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'HeadPass', 'Angle', 'PassEndY']","[91, 117, 30, 139, 35, 37, 215, 218]",True,401520.0,33.39,11.356,,,,,,,,,6.0,Alexander Bah,False,Estoril,Benfica,-0.0006677699999999998
,,1.0,28.0,299,33.39,11.356,,,Carry,,,,,443613.0,36.12,7.412000000000001,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0006677699999999998
2482785513.0,34.0,1.0,29.0,299,36.12,7.412000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,443613.0,,,,,,,,,,,66.0,António Silva,,Estoril,Benfica,
2482785557.0,8.0,1.0,29.0,2188,68.88,60.588,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,444630.0,,,,,,,,,,,,,,Estoril,Benfica,
2482785571.0,35.0,1.0,30.0,299,33.39,11.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Length', 'HeadPass', 'Zone']","[91, 117, 30, 139, 36, 38, 216, 218]",True,443613.0,43.68000000000001,6.800000000000001,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0006677699999999998
,,1.0,30.0,299,43.68000000000001,6.800000000000001,,,Carry,,,,,125476.0,61.53,9.384,,,,,,,,,20.0,João Mário,True,Estoril,Benfica,0.00622003
2482785635.0,36.0,1.0,38.0,299,61.53,9.384,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,125476.0,68.565,17.612000000000002,,,,,,,,,20.0,João Mário,True,Estoril,Benfica,0.0006478500000000019
,,1.0,38.0,299,68.565,17.612000000000002,,,Carry,,,,,135127.0,73.08,19.652,,,,,,,,,27.0,Rafa,False,Estoril,Benfica,0.004771079999999997
2482785661.0,37.0,1.0,40.0,299,73.08,19.652,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'Length', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,135127.0,75.915,32.368,,,,,,,,,27.0,Rafa,False,Estoril,Benfica,-0.0002709099999999992
2482785667.0,38.0,1.0,42.0,299,76.23,33.32,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,361961.0,,,,,,,,,,,22.0,Chiquinho,,Estoril,Benfica,
2482785697.0,9.0,1.0,45.0,2188,35.175000000000004,29.852,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,447025.0,,,,,,,,,,,,,,Estoril,Benfica,
2482785725.0,10.0,1.0,47.0,2188,41.895,34.136,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421892.0,,,,,,,,,,,,,,Estoril,Benfica,
2482785769.0,11.0,1.0,47.0,2188,42.73500000000001,34.748000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,421892.0,64.05,25.840000000000003,,,,,,,,,,,True,Estoril,Benfica,0.00734424
2482785781.0,12.0,1.0,49.0,2188,74.13,25.024,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,332144.0,,,,,,,,,,,,,,Estoril,Benfica,
2482785807.0,40.0,1.0,52.0,299,29.82,37.876000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,107252.0,,,,,,,,,,,3.0,Alejandro Grimaldo,,Estoril,Benfica,
,,1.0,52.0,299,29.82,37.876000000000005,,,Carry,,,,,107252.0,31.605000000000004,34.272,,,,,,,,,3.0,Alejandro Grimaldo,False,Estoril,Benfica,0.0
2482785847.0,41.0,1.0,53.0,299,31.605000000000004,34.272,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,107252.0,33.6,27.404,,,,,,,,,3.0,Alejandro Grimaldo,False,Estoril,Benfica,0.0
,,1.0,53.0,299,33.6,27.404,,,Carry,,,,,125476.0,43.995,19.584000000000003,,,,,,,,,20.0,João Mário,False,Estoril,Benfica,0.0013679799999999995
2482785857.0,42.0,1.0,56.0,299,43.995,19.584000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Zone', 'Length', 'Throughball', 'Angle', 'Longball', 'PassEndX', 'PassEndY']","[91, 120, 124, 128, 130, 36, 37, 217, 218]",True,125476.0,89.565,35.292,,,,,,,,,20.0,João Mário,True,Estoril,Benfica,
2482785893.0,13.0,2.0,1.0,2188,15.33,33.456,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,361808.0,,,,,,,,,,,,,,Estoril,Benfica,
2482786999.0,48.0,2.0,53.0,299,71.4,49.57200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,135127.0,,,,,,,,,,,27.0,Rafa,,Estoril,Benfica,
2482786801.0,18.0,2.0,57.0,2188,8.61,31.484,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,361808.0,,,,,,,,,,,,,,Estoril,Benfica,
2482786843.0,19.0,2.0,58.0,2188,7.455,34.204,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'KeeperThrow', 'PassEndX', 'PassEndY']","[91, 36, 37, 215, 218]",True,361808.0,17.535,48.484,,,,,,,,,,,False,Estoril,Benfica,0.0003668899999999999
2482815889.0,356.0,2.0,59.0,2188,14.28,50.660000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,361912.0,20.580000000000002,63.308,,,,,,,,,,,False,Estoril,Benfica,-0.0013289100000000009
2482786863.0,21.0,3.0,4.0,2188,38.535000000000004,66.028,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'Angle', 'OppositeRelatedEvent', 'Offensive', 'PassEndY', 'PassEndX']","[91, 118, 120, 29, 36, 38, 216, 218]",True,444630.0,38.745,65.688,,,,,,,,,,,False,Estoril,Benfica,
2482786827.0,46.0,3.0,4.0,299,65.415,2.108,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 60]",True,401520.0,,,,,,,,,,,6.0,Alexander Bah,,Estoril,Benfica,
2482786857.0,20.0,3.0,4.0,2188,23.205000000000002,64.87200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'PassEndY', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,105928.0,36.54,65.89200000000001,,,,,,,,,,,False,Estoril,Benfica,0.0028141300000000015
