id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2549065723.0,42.0,3.0,12.0,297,34.230000000000004,41.82,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,10105.0,34.755,51.408,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0007288600000000013
2549065749.0,43.0,3.0,13.0,297,34.755,51.408,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,132273.0,14.595,32.096000000000004,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.00023232000000000114
2549065767.0,44.0,3.0,17.0,297,15.015,31.688000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,373842.0,23.730000000000004,43.384,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0008141799999999994
2549065779.0,45.0,3.0,20.0,297,28.14,43.86000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Longball', 'Chipped', 'Zone', 'Angle', 'PassEndY', 'Length']","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,10105.0,61.214999999999996,65.62,,,,,,,,,,,,,True,Porto,Casa Pia AC,0.0036313399999999985
2549065791.0,46.0,3.0,22.0,297,59.85,66.164,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,347204.0,44.730000000000004,65.89200000000001,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0034732899999999987
2549065793.0,47.0,3.0,24.0,297,45.675000000000004,66.23200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 53]",True,132273.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549065803.0,23.0,3.0,24.0,9509,59.325,1.7680000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive', 'OtherBodyPart', 'StandingSave']","[91, 143]",True,447577.0,,,,,,,,,,,,,24.0,Yuki Soma,,Porto,Casa Pia AC,
2549065847.0,49.0,3.0,29.0,297,47.88,68.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'ThrowIn', 'PassEndX', 'PassEndY', 'Zone']","[91, 212, 35, 38, 216]",True,132273.0,47.565,50.592000000000006,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0018078399999999998
2549065887.0,50.0,3.0,31.0,297,48.615,47.260000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Longball', 'Length', 'PassEndY', 'Chipped', 'Zone', 'StandingSave']","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,114301.0,55.755,5.78,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0004446799999999994
2549065897.0,51.0,3.0,34.0,297,56.385000000000005,7.276,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'HeadPass', 'PassEndY', 'Angle', 'Length', 'Zone']","[91, 120, 29, 139, 36, 37, 216, 218]",True,338791.0,67.30499999999999,19.040000000000003,,,,,,,,,,,,,True,Porto,Casa Pia AC,
