id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2445518101.0,43.0,3.0,29.0,299,72.135,0.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'ThrowIn', 'Length']","[91, 212, 35, 37, 216]",True,119542.0,61.53,4.828,,,,,,,,,,,,False,Casa Pia,Benfica,-0.00377069
2445518155.0,44.0,3.0,29.0,299,61.53,4.828,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndX', 'OppositeRelatedEvent', 'Zone', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,369712.0,66.57000000000001,1.7680000000000002,,,,,,,,,,,,False,Casa Pia,Benfica,0.0
2445518811.0,50.0,3.0,31.0,299,65.625,1.904,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Offensive', 'Length', 'Zone', 'OppositeRelatedEvent']","[91, 120, 29, 37, 216, 218]",True,119542.0,65.625,2.3800000000000003,,,,,,,,,,,,False,Casa Pia,Benfica,
2445518171.0,30.0,3.0,31.0,9509,43.575,65.89200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 60]",True,444768.0,,,,,,,,,,,,7.0,Saviour Godwin,,Casa Pia,Benfica,
2445518251.0,46.0,3.0,37.0,299,67.30499999999999,0.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'ThrowIn', 'Zone', 'PassEndY']","[91, 212, 36, 37, 216]",True,119542.0,68.985,5.236000000000001,,,,,,,,,,,,False,Casa Pia,Benfica,0.0
2445518297.0,47.0,3.0,38.0,299,68.985,5.236000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Angle']","[91, 119, 117, 30, 35, 38, 216, 218]",True,343029.0,65.83500000000001,1.292,,,,,,,,,,,,False,Casa Pia,Benfica,0.0
2445518313.0,48.0,3.0,41.0,299,62.05500000000001,8.704,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone', 'Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Angle']","[91, 120, 29, 36, 37, 216, 218]",True,119542.0,63.945,10.336,,,,,,,,,,,,False,Casa Pia,Benfica,
2445518335.0,32.0,3.0,41.0,9509,39.9,51.00000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Defensive', 'Zone']","[91, 60]",True,105745.0,,,,,,,,,,,,27.0,Afonso Taira,,Casa Pia,Benfica,
2445518355.0,33.0,3.0,43.0,9509,43.155,42.024,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,322631.0,,,,,,,,,,,,8.0,Ângelo Neto,,Casa Pia,Benfica,
2445518371.0,34.0,3.0,43.0,9509,43.155,42.024,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Zone', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,322631.0,60.58500000000001,43.112,,,,,,,,,,8.0,Ângelo Neto,True,Casa Pia,Benfica,0.004229499999999999
