id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,4.0,30.0,2188,14.07,21.284000000000002,,,Carry,,,,,436897.0,25.095,22.236000000000004,,,,,,,,,,23.0,Pedro Álvaro,True,Estoril,Santa Clara,0.0002355900000000008
2541715235.0,38.0,4.0,35.0,2188,25.095,22.236000000000004,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,436897.0,21.0,45.764,,,,,,,,,,23.0,Pedro Álvaro,False,Estoril,Santa Clara,0.0
,,4.0,35.0,2188,21.0,45.764,,,Carry,,,,,421890.0,34.02,43.248000000000005,,,,,,,,,,3.0,Bernardo Vital,True,Estoril,Santa Clara,0.00109158
2541715351.0,40.0,4.0,43.0,2188,34.02,43.248000000000005,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Zone', 'Angle', 'Chipped', 'Longball', 'Length', 'StandingSave']","[91, 120, 124, 128, 36, 37, 217, 218]",True,421890.0,70.35000000000001,65.144,,,,,,,,,,3.0,Bernardo Vital,True,Estoril,Santa Clara,
2541715397.0,39.0,4.0,45.0,251,28.245,4.964,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Zone', 'Length', 'PassEndY', 'Angle']","[91, 94, 95, 215]",True,350779.0,33.6,0.0,,,,,,,,,,,,,Estoril,Santa Clara,
2541715533.0,42.0,4.0,54.0,2188,77.07000000000001,68.0,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Angle', 'ThrowIn', 'Zone']","[91, 212, 35, 38, 216]",True,105928.0,57.12,64.668,,,,,,,,,,31.0,Joãozinho,False,Estoril,Santa Clara,-0.006485330000000001
,,4.0,54.0,2188,57.12,64.668,,,Carry,,,,,255151.0,49.35,63.85200000000001,,,,,,,,,,20.0,João Carvalho,False,Estoril,Santa Clara,-0.002252519999999999
2541715665.0,43.0,4.0,57.0,2188,49.35,63.85200000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,255151.0,32.445,62.628,,,,,,,,,,20.0,João Carvalho,False,Estoril,Santa Clara,-0.0027068500000000002
,,4.0,57.0,2188,32.445,62.628,,,Carry,,,,,421890.0,31.605000000000004,49.844,,,,,,,,,,3.0,Bernardo Vital,False,Estoril,Santa Clara,0.0013280300000000009
2541715697.0,44.0,5.0,0.0,2188,31.605000000000004,49.844,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,421890.0,36.645,19.584000000000003,,,,,,,,,,3.0,Bernardo Vital,False,Estoril,Santa Clara,0.0015871199999999992
,,5.0,0.0,2188,36.645,19.584000000000003,,,Carry,,,,,436897.0,41.580000000000005,17.816000000000003,,,,,,,,,,23.0,Pedro Álvaro,False,Estoril,Santa Clara,0.0
