id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388119135.0,39.0,4.0,57.0,290.0,1.1550000000000002,41.548,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['MissLeft', 'Zone', 'OppositeRelatedEvent']",[122],False,334129.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2388119363.0,32.0,5.0,18.0,297.0,104.47500000000001,0.34,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Cross', 'Zone', 'PassEndY', 'StandingSave', 'Chipped', 'Angle', 'RightFoot', 'CornerTaken', 'Length']","[91, 137, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,384887.0,97.125,23.052,,,,,,,,,,20.0,Vitinha,True,Porto,Gil Vicente,0.026500049999999997
2388119395.0,40.0,5.0,19.0,290.0,7.56,45.83200000000001,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[197, 200]",False,322643.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2388119381.0,33.0,5.0,19.0,297.0,97.44,22.168000000000003,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[198, 199]",False,120608.0,,,,,,,,,,,,25.0,Otávio,,Porto,Gil Vicente,
2388119401.0,41.0,5.0,19.0,290.0,6.300000000000001,45.492,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Zone', 'Angle', 'PassEndY', 'Head', 'Length', 'PassEndX']","[91, 94, 95, 57, 215]",True,322643.0,27.930000000000003,59.636,,,,,,,,,,,,,Porto,Gil Vicente,
2388119451.0,34.0,5.0,24.0,297.0,66.15,5.848,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,338791.0,77.59500000000001,2.788,,,,,,,,,,11.0,Pepê Aquino,False,Porto,Gil Vicente,0.00377069
,,5.0,24.0,,77.59500000000001,2.788,,,Carry,,,,,384887.0,84.94500000000001,16.32,,,,,,,,,,20.0,Vitinha,True,Porto,Gil Vicente,0.008311429999999998
2388119479.0,35.0,5.0,28.0,297.0,84.94500000000001,16.32,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,384887.0,74.235,19.244000000000003,,,,,,,,,,20.0,Vitinha,False,Porto,Gil Vicente,-0.00541032
2388119531.0,36.0,5.0,31.0,297.0,74.235,19.244000000000003,5.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,351744.0,84.525,6.460000000000003,,,,,,,,,,46.0,Stephen Eustáquio,False,Porto,Gil Vicente,0.0034407200000000013
,,5.0,31.0,,84.525,6.460000000000003,,,Carry,,,,,120608.0,89.775,6.732000000000002,,,,,,,,,,25.0,Otávio,False,Porto,Gil Vicente,0.007287600000000002
