id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2452465793.0,32.0,1.0,54.0,935,14.07,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone', 'ThrowIn']","[91, 212, 36, 38, 216]",True,136435.0,47.88,65.28,,,,,,,,,,5.0,Rúben Lima,True,Famalicao,Santa Clara,
2452465809.0,31.0,1.0,58.0,251,59.535000000000004,5.168,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,422199.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465853.0,32.0,1.0,58.0,251,57.015,2.3120000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Longball']","[91, 117, 127, 35, 37, 215, 218]",True,422199.0,20.16,18.972,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0047229199999999985
2452465861.0,33.0,2.0,3.0,251,20.685,22.848000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,361916.0,27.825000000000003,4.6240000000000006,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0002364500000000009
2452465931.0,34.0,2.0,8.0,251,28.14,6.256,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,422199.0,10.605,26.656000000000002,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.00036602999999999983
2452465985.0,35.0,2.0,11.0,251,9.765,28.016000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,361916.0,19.635,49.57200000000001,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0008141799999999994
2452466039.0,36.0,2.0,18.0,251,27.51,36.04,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,444763.0,30.03,15.912,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0007288599999999996
2452466073.0,37.0,2.0,22.0,251,33.915,8.772,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,422199.0,39.165,1.564,,,,,,,,,,,,False,Famalicao,Santa Clara,0.0006677699999999998
2452466099.0,38.0,2.0,25.0,251,34.33500000000001,3.944,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,101748.0,19.845,5.168,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0013280500000000008
2452466109.0,39.0,2.0,26.0,251,19.845,5.168,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle']","[91, 118, 120, 29, 36, 37, 216, 218]",True,422199.0,43.365,8.16,,,,,,,,,,,,False,Famalicao,Santa Clara,
2452466121.0,33.0,2.0,28.0,935,62.895,61.2,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,298175.0,,,,,,,,,,,,97.0,Santiago Colombatto,,Famalicao,Santa Clara,
,,2.0,28.0,935,62.895,61.2,,,Carry,,,,,298175.0,66.045,60.79200000000001,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Santa Clara,0.0
2452466167.0,34.0,2.0,30.0,935,66.045,60.79200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,298175.0,74.76,64.87200000000001,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Santa Clara,0.00377069
2452466187.0,35.0,2.0,34.0,935,75.17999999999999,64.464,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'PassEndX', 'PassEndY', 'Longball', 'StandingSave', 'Zone', 'Cross', 'Length', 'Angle', 'RightFoot']","[91, 137, 124, 126, 36, 38, 217, 218]",True,432217.0,96.075,37.74,,,,,,,,,,14.0,Junior Kadile,True,Famalicao,Santa Clara,
2452466221.0,40.0,2.0,36.0,251,8.925,31.28,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Angle', 'Head', 'PassEndX', 'Zone', 'Length']","[91, 94, 95, 57, 215]",True,444763.0,4.41,11.56,,,,,,,,,,,,,Famalicao,Santa Clara,
2452466245.0,41.0,2.0,40.0,251,5.460000000000001,14.620000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,101748.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
