awayTeam,away_score,blockedX,blockedY,eventType,expectedGoals,expectedGoalsOnTarget,firstName,goalCrossedY,goalCrossedZ,homeTeam,home_score,id,isBlocked,isOnTarget,isOwnGoal,lastName,min,minAdded,name,onGoalShot,period,playerId,playerName,round,shotType,situation,teamId,x,y
Belenenses SAD,1.0,91.3,41.225952381,AttemptSaved,0.0294280350208282,,Diogo,34.305,1.219999994,Benfica,0.0,2404044881.0,1.0,1.0,0.0,Goncalves,21.0,,Benfica,"{'x': 0.9193121693121694, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,576118.0,Diogo Goncalves,29.0,RightFoot,FromCorner,9772.0,83.6111650488,44.28102124187426
Belenenses SAD,1.0,,,Miss,0.1082586944103241,,Nicolas,29.799761903000004,7.600000016000001,Benfica,0.0,2404045481.0,0.0,0.0,0.0,Otamendi,22.0,,Benfica,"{'x': 1.3742902222808033, 'y': 0.6772486772486772, 'zoomRatio': 0.3368421045540166}",FirstHalf,174321.0,Nicolas Otamendi,29.0,RightFoot,FromCorner,9772.0,91.6999969482422,36.2875
Belenenses SAD,1.0,,,Goal,0.3391237556934356,0.5876,Darwin,35.448750000000004,0.2054736832,Benfica,1.0,2404045933.0,0.0,1.0,0.0,Nunez,22.0,,Benfica,"{'x': 0.6167328042328032, 'y': 0.05435811724867726, 'zoomRatio': 1}",FirstHalf,950561.0,Darwin Nunez,29.0,RightFoot,RegularPlay,9772.0,96.4122807008,27.02619175846489
Belenenses SAD,1.0,102.7241379312,35.6775,AttemptSaved,0.0307366847991943,0.0924,,35.60125,0.0385263156,Benfica,1.0,2404048827.0,0.0,1.0,0.0,Éverton,25.0,,Benfica,"{'x': 0.5763888888888888, 'y': 0.010192146984126984, 'zoomRatio': 1}",FirstHalf,528348.0,Éverton,29.0,RightFoot,RegularPlay,9772.0,78.43058424406556,48.34471230401287
Belenenses SAD,1.0,87.31911764680001,47.854267513,AttemptSaved,0.0245243608951568,,Afonso,35.90625,1.219999994,Benfica,1.0,2404049815.0,1.0,1.0,0.0,Sousa,27.0,,Belenenses SAD,"{'x': 0.49570105820105825, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,1083349.0,Afonso Sousa,29.0,RightFoot,RegularPlay,9807.0,86.24558987287588,48.484842899874266
Belenenses SAD,1.0,95.7368421041,23.9992356735,AttemptSaved,0.0140084326267242,,Rafael,36.5925,1.219999994,Benfica,1.0,2404050325.0,1.0,1.0,0.0,Camacho,27.0,,Belenenses SAD,"{'x': 0.31415343915343885, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,933778.0,Rafael Camacho,29.0,LeftFoot,FromCorner,9807.0,95.2543889082786,23.298597661412867
Belenenses SAD,1.0,103.9568965518,34.1525,AttemptSaved,0.033720850944519,0.2087,,36.36375,1.4639999928,Benfica,1.0,2404057463.0,0.0,1.0,0.0,Morato,34.0,,Benfica,"{'x': 0.37466931216931143, 'y': 0.38730158539682535, 'zoomRatio': 1}",FirstHalf,1053838.0,Morato,29.0,Header,FromCorner,9772.0,91.0999984741211,36.592501163482666
Belenenses SAD,1.0,96.9912280694,32.474999999999994,AttemptSaved,0.0762354433536529,,Darwin,31.94125,1.219999994,Benfica,1.0,2404059149.0,1.0,1.0,0.0,Nunez,36.0,,Benfica,"{'x': 1.544642857142858, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,950561.0,Darwin Nunez,29.0,RightFoot,RegularPlay,9772.0,92.6999969482422,32.85625
Belenenses SAD,1.0,,,Post,0.0545858740806579,,,37.732,0.0834736838,Benfica,1.0,2404059219.0,0.0,1.0,0.0,Éverton,36.0,,Benfica,"{'x': 0.012698412698412986, 'y': 0.02208298513227513, 'zoomRatio': 1}",FirstHalf,528348.0,Éverton,29.0,RightFoot,RegularPlay,9772.0,86.24558987287588,26.343125882148744
Belenenses SAD,1.0,,,Miss,0.0370256602764129,,Rafael,38.200238097,0.2696842092,Benfica,1.0,2404061745.0,0.0,0.0,0.0,Camacho,38.0,,Belenenses SAD,"{'x': 0, 'y': 0.06420688612691287, 'zoomRatio': 0.8999489821064788}",FirstHalf,933778.0,Rafael Camacho,29.0,RightFoot,RegularPlay,9807.0,76.06553741933112,26.77404633653511
Belenenses SAD,1.0,99.1140350876,36.745000000000005,AttemptSaved,0.2144199311733245,,Diogo,33.5425,1.219999994,Benfica,1.0,2404063351.0,1.0,1.0,0.0,Goncalves,40.0,,Benfica,"{'x': 1.121031746031747, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,576118.0,Diogo Goncalves,29.0,RightFoot,RegularPlay,9772.0,96.0263143160607,37.77999990844727
Belenenses SAD,1.0,,,Miss,0.026055634021759,,Darwin,22.247643316,0.9824210478,Benfica,1.0,2404063895.0,0.0,0.0,0.0,Nunez,40.0,,Benfica,"{'x': 2, 'y': 0.08359353568101764, 'zoomRatio': 0.3216376171722394}",FirstHalf,950561.0,Darwin Nunez,29.0,RightFoot,FromCorner,9772.0,83.16067789353444,44.84152758901287
