id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2521831295.0,24.0,2.0,14.0,107,32.235,52.02,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'StandingSave', 'Angle']","[91, 118, 120, 29, 36, 37, 216, 218]",True,70967.0,38.325,56.644000000000005,,,,,,,,,,,21.0,André André,False,Benfica,Vitoria de Guimaraes,
2521831319.0,36.0,2.0,14.0,299,67.41000000000001,18.904000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,369712.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521831467.0,38.0,2.0,15.0,299,72.66000000000001,15.776,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,401520.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521831385.0,37.0,2.0,15.0,299,72.24,15.64,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle', 'StandingSave']","[91, 120, 29, 36, 37, 217, 218]",True,401520.0,72.66000000000001,15.776,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,
2521831351.0,25.0,2.0,15.0,107,27.615000000000002,55.556000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Defensive', 'StandingSave', 'Zone']","[91, 60]",True,70967.0,,,,,,,,,,,,,21.0,André André,,Benfica,Vitoria de Guimaraes,
,,2.0,15.0,107,27.615000000000002,55.556000000000004,,,Carry,,,,,70967.0,30.03,53.85600000000001,,,,,,,,,,,21.0,André André,False,Benfica,Vitoria de Guimaraes,0.0
2521831389.0,26.0,2.0,18.0,107,30.03,53.85600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'MissLeft']",[122],False,70967.0,,,,,,,,,,,,,21.0,André André,,Benfica,Vitoria de Guimaraes,
2521831473.0,39.0,2.0,18.0,299,74.97000000000001,14.144000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissRight', 'Zone', 'OppositeRelatedEvent']",[122],False,401520.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521831903.0,40.0,2.0,38.0,299,104.47500000000001,0.34,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'StandingSave', 'CornerTaken', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 31, 32, 34, 35, 37, 217, 218]",True,326505.0,93.03,5.576,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.0
2521831921.0,41.0,2.0,39.0,299,97.125,2.8560000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,361961.0,84.21000000000001,8.432,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-0.010362779999999999
2521832101.0,46.0,2.0,42.0,299,80.64,9.112,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,401520.0,85.995,2.4480000000000004,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.005318000000000003
2521832035.0,43.0,2.0,44.0,299,90.19500000000001,4.352,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,326505.0,98.49,3.604,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.003075179999999997
2521832043.0,44.0,2.0,46.0,299,99.22500000000001,4.148,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'Angle', 'Cross', 'Zone', 'OppositeRelatedEvent', 'Chipped', 'RightFoot', 'Length', 'Offensive', 'PassEndX']","[91, 137, 124, 126, 36, 37, 217, 218]",True,361961.0,99.75,6.256,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,
2521832021.0,27.0,2.0,46.0,107,9.450000000000001,57.664,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Zone', 'OppositeRelatedEvent', 'BlockedCross', 'StandingSave']","[91, 59]",True,431674.0,,,,,,,,,,,,,2.0,Miguel Maga,,Benfica,Vitoria de Guimaraes,
2521832073.0,28.0,2.0,47.0,107,7.3500000000000005,59.704,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['MissLeft', 'OppositeRelatedEvent', 'Zone']",[122],False,431674.0,,,,,,,,,,,,,2.0,Miguel Maga,,Benfica,Vitoria de Guimaraes,
2521832065.0,45.0,2.0,47.0,299,97.65,8.296,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissRight', 'Zone', 'OppositeRelatedEvent']",[122],False,361961.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521832333.0,47.0,3.0,5.0,299,104.47500000000001,0.34,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Longball', 'CornerTaken', 'Angle', 'Chipped', 'Zone', 'Cross', 'RightFoot', 'PassEndY', 'StandingSave']","[91, 137, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,361961.0,97.125,35.02,,,,,,,,,,,,,True,Benfica,Vitoria de Guimaraes,
2521832349.0,29.0,3.0,7.0,107,10.5,28.492,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Zone', 'Length']","[91, 94, 95, 215]",True,408432.0,14.175,31.688000000000002,,,,,,,,,,,13.0,André Amaro,,Benfica,Vitoria de Guimaraes,
